Gene,Log2FC,p-value,adj_p-value,Significant,-log10(p-value)
LOC121915633,0.3296361900226259,0.4460113928761609,,False,0.3506540475657612
GPN1,-0.11398252842570145,0.7491530607444538,,False,0.12542944178571522
ZNF512,-0.027695671790791465,0.9306859225105135,,False,0.03119685514509931
LOC121932887,0.0,,,False,
TRIM54,-4.5668151540108965,0.03995105535715579,,False,1.398471743765875
LOC121919936,-0.351965010096702,0.2185372293083313,,False,0.6604745673622576
LOC121919980,-0.15634202916938733,0.7545039900853789,,False,0.12233845917867583
IFT172,-1.0389396892663445,0.02955000079176043,,False,1.529442503146273
NRBP1,-0.5363775431481059,0.07785515256779349,,False,1.1087126399011207
PPM1G,-0.2662045506749511,0.4046954376296027,,False,0.39287169163871927
LOC121919995,0.41503749927884376,0.36321746764912255,,False,0.43983327380401
ZNF513,-0.31734082539171116,0.2317547053788606,,False,0.6349714394948819
SNX17,-0.1334817896358178,0.623136981687829,,False,0.20541647364275578
EIF2B4,0.16705714663731364,0.45710594896487866,,False,0.3399831265868282
GTF3C2,0.4843163498549483,0.12445489046701624,,False,0.9049880330762071
SLC30A3,2.6147098441152083,0.16007023755398564,,False,0.7956894105395119
UCN,0.0,,,False,
MPV17,-0.07924930481162562,0.8153238374860858,,False,0.0886698600955315
CAD,0.4053047603217248,0.23715754714583354,,False,0.6249630500901799
ATRAID,0.1565431187765398,0.6106153995433938,,False,0.21423224711828534
SLC5A6,-0.43708413733225093,0.18049247990512324,,False,0.7435408879618906
PREB,0.5743160344663991,0.08171023411950352,,False,1.0877235451410994
ABHD1,1.6544029992190055,0.003087976113137216,,False,2.5103260677834585
KHK,0.47762502399586815,0.2598242898923423,,False,0.5853202509800601
LOC121919531,-0.9349049717781148,0.34758822686002727,,False,0.45893494193659057
EMILIN1,0.6877015558145114,0.06805278746160062,,False,1.1671540812703673
PBK,2.6427669522440187,0.0004410568508085332,,False,3.3555054277631386
LOC121921326,-0.736965594166206,0.025031015818452955,,False,1.6015215253259814
LOC121921297,-0.981549652098094,0.13957050883894265,,False,0.8552063381710383
LOC121921318,-4.421463768438277,0.0050468349635636785,,False,2.29698089688817
